Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Korea, Rep.",36.23698959,38.35266821,36.29852378,42.81002893,46.2614927,37.30181643,34.17018482,30.01294449,27.99089996,27.26027397,26.35966795,27.00608744,26.37213015,24.48898159,24.05995,24.37101979,22.93730747,21.6756748,19.82048587,18.45500622,14.14242754,14.89619658,13.86896617,12.51222056,11.76858184,11.6848312,10.36849888,9.272167774,9.192050719,8.513680451,7.601954962,6.815677679,6.600970332,5.900210176,5.659735635,5.337596995,4.995169813,4.519832389,4.276509466,4.314538664,3.943640951,3.691106594,3.354967177,3.143386245,3.184388809,2.840310577,2.695096116,2.445963021,2.261953502,2.347244674,2.236404101,2.285168018,2.234197271,2.129301336,2.123729198,2.085013853,1.927595923,1.961132074,1.983314639
Sri Lanka,32.10419693,32.90995044,31.09252254,32.34974143,30.96238539,28.56488687,28.68265285,30.0772318,31.62786977,29.32323546,28.76776884,27.52395522,26.73869749,27.66915715,33.52872346,30.6494283,29.32061172,30.97782322,30.78518565,27.23629969,27.81798727,27.96159105,26.5994502,28.4760072,28.85648932,28.05746361,27.45499681,27.30228993,26.68362343,25.95598285,26.68499557,27.08797056,26.12236113,24.88070331,23.97383949,23.14012307,22.53906328,21.94860064,21.16449052,20.72848094,19.92731504,20.0666052,14.27932254,13.23051488,12.54380414,11.81947682,11.33628023,11.68316433,13.37920077,12.6919713,8.496140278,8.831663963,7.449325527,7.666516518,8.006609793,8.184271461,7.426799696,7.782049986,7.869726163
Lesotho,88.18461538,89.4145098,88.18494983,83.78125,81.71428571,79.28622449,55.35432099,46.04016064,46.4354067,42.17105263,43.32403259,27.9440585,43.00546624,49.5274673,39.39395122,36.50886076,30.75327103,37.58447353,30.33334771,34.25599673,22.4361202,24.34776903,16.66435594,16.25862857,15.21385074,16.02978041,15.83660867,14.25374758,14.001639,12.6246288,12.16164968,7.324999864,9.077085406,8.330235572,8.262433407,8.780632296,7.689283279,7.003196532,8.322992802,8.784630254,7.827134815,8.298870587,6.395312833,6.346886124,5.984006756,5.671130405,4.842764809,5.284879346,5.538015811,6.039734637,5.094705614,5.130735076,4.989084955,5.774814936,5.621144991,4.969513764,5.89133751,6.117689723,5.997444236
Mauritania,45.99719197,40.6112309,39.70602959,40.13076048,32.59136833,30.20927252,30.27719748,30.43768299,28.92039965,24.41223529,27.51040565,26.35602265,25.88084008,34.96000494,31.22905903,26.65009177,25.51037781,26.60066653,28.48161746,26.42600884,28.52096461,29.34532763,30.01441907,30.16523086,25.55787996,20.0212669,23.84325591,28.98863364,29.26040656,28.83938319,26.5546478,34.69066311,34.6346661,34.75808111,33.89818481,34.13531737,32.99971718,30.38942639,31.47495966,33.82822809,34.36617943,33.59088589,32.77899601,34.43928959,32.62519064,28.17206637,21.41657683,23.61854757,23.43875136,24.11179392,20.29326604,17.09226338,17.93135893,17.99607499,21.9065478,24.6901665,24.08613771,23.87847248,25.91942552
Malawi,48.36769759,48.59663192,48.62385321,49.2296405,48.09489576,47.95607077,45.91397849,44.0122825,42.38864415,41.71557562,40.9748038,41.2055336,42.51920123,38.92857143,38.65655471,34.7744006,37.04248366,39.25824176,36.83027351,49.0929092,39.22981793,35.95085281,37.22922286,38.18840906,37.65749898,38.13421256,38.78058922,43.06836707,43.42965426,40.54468439,38.48260597,39.64781066,34.93256277,44.78280462,22.34120948,26.86427914,31.41790374,30.31048807,32.19048749,34.40007686,35.66084815,35.28267377,38.81840596,36.2226653,34.71394761,32.91457648,30.86732465,27.51127902,29.97580655,30.42900297,29.61487225,28.77238042,28.28892624,28.67364219,28.70269876,27.48122386,25.92704341,26.09692424,26.09692424
Malaysia,43.71593249,45.38215218,42.96866166,35.12365305,33.27378405,31.00663757,31.54123558,31.59812334,31.33851103,33.13687912,32.58028405,28.42619066,28.26248101,28.93644715,32.46534036,30.71694161,29.40182553,28.21446135,26.38947421,24.87528584,23.02726814,21.82103241,21.50166073,20.22308855,20.34569441,20.28147851,20.18450261,19.96053524,20.07145177,18.08178043,15.21653328,14.35570291,14.57241077,13.78735612,13.66103724,12.94943656,11.68043447,11.10133253,13.31224426,10.84238805,8.599021888,8.010970591,8.985081404,9.306085216,9.271002093,8.262291704,8.609982841,9.98677368,9.968582335,9.219100044,10.08991593,11.45335312,9.793750746,9.113363845,8.873209013,8.287501243,8.462524546,8.61110139,7.536799008
Niger,75.32407003,73.88716501,75.99760963,72.94795443,74.3240386,67.70391961,66.87473439,70.70632571,69.16820718,66.41938091,64.87511187,65.46078092,62.46013645,60.27145111,63.79496479,50.31146282,47.02771859,51.78719519,52.68034939,48.68450092,43.05660591,45.65180487,44.29864469,41.58055549,35.7713392,36.7428931,34.72853994,35.210848,35.35041061,34.07162501,35.25318448,39.16308055,38.75356808,38.47354907,40.79962981,40.18960344,38.93400144,38.86856863,42.62248374,40.72911408,37.83973758,40.00701262,39.56901111,39.64724409,20.11638145,24.72846723,42.88051738,40.96804213,43.39877595,39.38968974,40.89784251,38.31153694,38.08173385,35.80097605,36.70579346,36.33233588,38.78420862,39.65242827,39.20446939
Pakistan,43.68091153,42.38653796,40.75796612,39.61238858,38.88089713,37.24797478,34.33136378,35.34050071,36.32446407,34.14740875,33.43316356,32.15877344,33.17547813,32.75910956,32.3350954,29.86923822,29.03272101,29.36132889,28.66301316,27.75217938,26.50600411,27.46229388,28.44776694,27.27320143,24.89268882,25.69060756,25.03245551,23.63405512,23.15702464,23.91701006,23.0622831,22.9295266,23.42956047,22.34094825,22.92762045,23.42187937,23.19579581,24.48425079,25.30313827,25.16928551,24.13962899,22.45438283,21.74637868,21.726671,20.64948995,20.21966275,21.60797745,21.80047244,22.50026603,22.71733001,23.28158964,25.12918271,23.71024867,23.83211646,23.74454012,23.81706316,23.21519879,22.92586789,22.85166752
Peru,19.05451824,19.15635254,18.16816283,17.08367166,16.50746863,16.07628123,16.15678714,16.83248019,16.70975155,16.00105363,16.71561985,15.96055655,15.02058831,14.87420686,14.61005359,14.83788831,13.9689829,27.94337556,11.65864721,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,9.774950136,7.86239612,7.818050407,8.291640497,8.41558547,8.038216243,8.504048493,8.048158549,8.378335158,8.264501734,8.069374917,7.893626696,7.523963236,7.312919344,6.934433062,6.854264623,6.60348433,6.705808385,7.160941146,7.403906656,6.827997236,7.100110137,6.725234241,6.668310165,6.804247414,7.04564406,6.935034617,6.77975956,6.891732087
Philippines,26.94057691,26.77652044,26.85774982,27.41204481,26.53383886,27.15214219,27.14044537,27.36834225,29.20060332,29.9195451,29.52209791,30.30767293,29.45155564,30.55796133,31.05564167,30.33997221,29.26869532,28.71826251,28.21541534,27.44406111,25.11559022,24.89097857,23.34816207,22.3652517,24.75285091,24.57740482,23.9464794,24.00932094,22.96285452,22.69278314,21.90381504,20.98282788,21.820875,21.60429229,22.00365992,21.6268414,20.61782145,18.87233218,14.75983528,15.2111204,13.96678166,13.20227217,13.14558688,12.70429545,13.30543649,12.66480319,12.36913484,12.49673576,13.24346014,13.08068262,12.3143278,12.7211609,11.83370589,11.25246645,11.33098427,10.2601852,9.655243645,9.663522591,9.284349861
Papua New Guinea,49.70123,49.03934126,47.38421955,44.03409091,42.55319149,41.58802473,41.33486107,41.96246401,42.89011014,41.81228842,37.17903588,34.48549068,32.38043469,28.20596917,27.99570576,29.70183345,31.70365691,32.98421255,36.02722138,33.86009838,33.11865816,33.39280276,32.426252,32.67678413,37.36757042,33.76511143,32.18909147,29.86371194,29.14734551,28.11504744,28.9740589,25.97903262,24.47312337,27.56672351,32.36352458,33.81277544,31.64525292,35.03305271,33.69214209,34.25726649,33.96639208,34.41128094,37.99064819,38.34858793,35.96866281,20.40323713,20.40323713,19.60859068,20.17487218,21.64346769,19.60838721,19.19971144,19.27395069,19.26001933,17.69194425,17.45693019,17.86634044,17.64956892,17.64956892
